station_code,time,temperature,humidity,precipitation,visibility_m,wind_speed_kmh,weather_code,is_fog
NDLS,2021-01-01T00:00,7.3,86,0.0,,5.5,2,False
NDLS,2021-01-01T01:00,8.1,82,0.0,,2.8,0,False
NDLS,2021-01-01T02:00,6.5,86,0.0,,4.6,0,False
NDLS,2021-01-01T03:00,7.6,81,0.0,,4.1,0,False
NDLS,2021-01-01T04:00,6.1,86,0.0,,6.0,0,False
NDLS,2021-01-01T05:00,3.9,96,0.0,,4.7,0,False
NDLS,2021-01-01T06:00,3.5,99,0.0,,3.2,0,False
NDLS,2021-01-01T07:00,3.8,99,0.0,,2.3,3,False
NDLS,2021-01-01T08:00,5.2,97,0.0,,1.6,3,False
NDLS,2021-01-01T09:00,8.2,88,0.0,,1.3,0,False
NDLS,2021-01-01T10:00,11.5,77,0.0,,3.5,0,False
NDLS,2021-01-01T11:00,14.4,60,0.0,,5.9,0,False
NDLS,2021-01-01T12:00,16.0,53,0.0,,7.7,0,False
NDLS,2021-01-01T13:00,17.2,48,0.0,,7.6,0,False
NDLS,2021-01-01T14:00,17.9,45,0.0,,7.2,0,False
NDLS,2021-01-01T15:00,18.1,44,0.0,,6.5,0,False
NDLS,2021-01-01T16:00,17.5,47,0.0,,5.9,1,False
NDLS,2021-01-01T17:00,12.9,64,0.0,,9.1,0,False
NDLS,2021-01-01T18:00,12.0,69,0.0,,8.9,1,False
NDLS,2021-01-01T19:00,11.9,71,0.0,,6.9,1,False
NDLS,2021-01-01T20:00,10.9,77,0.0,,7.2,0,False
NDLS,2021-01-01T21:00,10.8,78,0.0,,7.0,1,False
NDLS,2021-01-01T22:00,10.5,79,0.0,,8.1,1,False
NDLS,2021-01-01T23:00,10.3,79,0.0,,8.2,1,False
NDLS,2021-01-02T00:00,10.3,79,0.0,,6.6,3,False
NDLS,2021-01-02T01:00,10.4,78,0.0,,7.2,3,False
NDLS,2021-01-02T02:00,10.7,75,0.0,,8.0,1,False
NDLS,2021-01-02T03:00,10.2,76,0.0,,7.3,3,False
NDLS,2021-01-02T04:00,10.2,77,0.0,,4.1,3,False
NDLS,2021-01-02T05:00,9.7,81,0.0,,5.6,3,False
NDLS,2021-01-02T06:00,10.0,79,0.2,,6.3,51,False
NDLS,2021-01-02T07:00,9.8,82,1.1,,7.2,55,False
NDLS,2021-01-02T08:00,10.9,79,0.0,,9.7,1,False
NDLS,2021-01-02T09:00,12.9,69,0.0,,9.1,1,False
NDLS,2021-01-02T10:00,15.0,60,0.1,,9.9,51,False
NDLS,2021-01-02T11:00,16.1,59,0.2,,12.1,51,False
NDLS,2021-01-02T12:00,16.4,65,0.7,,12.9,53,False
NDLS,2021-01-02T13:00,16.7,69,1.9,,11.8,61,False
NDLS,2021-01-02T14:00,17.4,67,0.3,,12.2,51,False
NDLS,2021-01-02T15:00,18.3,62,0.0,,12.1,1,False
NDLS,2021-01-02T16:00,18.5,62,0.0,,10.4,1,False
NDLS,2021-01-02T17:00,17.3,63,0.0,,10.3,0,False
NDLS,2021-01-02T18:00,16.1,65,0.0,,11.1,1,False
NDLS,2021-01-02T19:00,15.4,68,0.0,,11.8,0,False
NDLS,2021-01-02T20:00,14.7,72,0.0,,11.8,0,False
NDLS,2021-01-02T21:00,14.4,77,0.0,,12.0,0,False
